box,player_id,name,team,position,projected_points,risk,injury_status,popularity,salary
1,1,Connor McDavid,EDM,C,126,low,healthy,1.00,10800
1,2,Nathan MacKinnon,COL,C,118,low,healthy,0.98,10400
1,3,Nikita Kucherov,TBL,RW,115,low,healthy,0.97,10100
1,4,Auston Matthews,TOR,C,108,low,healthy,0.96,9900
1,5,Leon Draisaitl,EDM,C,110,low,healthy,0.95,9800
2,6,David Pastrnak,BOS,RW,106,low,healthy,0.94,9600
2,7,Artemi Panarin,NYR,LW,103,low,healthy,0.92,9300
2,8,Jack Hughes,NJD,C,101,medium,healthy,0.91,9200
2,9,Mikko Rantanen,COL,RW,98,low,healthy,0.90,9000
2,10,Matthew Tkachuk,FLA,LW,94,low,healthy,0.89,8800
3,11,Kirill Kaprizov,MIN,LW,96,medium,healthy,0.90,8900
3,12,Brayden Point,TBL,C,91,low,healthy,0.86,8500
3,13,William Nylander,TOR,RW,90,low,healthy,0.85,8400
3,14,Mitch Marner,TOR,RW,93,low,healthy,0.88,8700
3,15,Jason Robertson,DAL,LW,88,medium,healthy,0.84,8300
4,16,Quinn Hughes,VAN,D,92,low,healthy,0.87,8600
4,17,Cale Makar,COL,D,89,medium,healthy,0.89,8800
4,18,Adam Fox,NYR,D,78,low,healthy,0.81,7700
4,19,Roman Josi,NSH,D,76,medium,healthy,0.79,7500
4,20,Rasmus Dahlin,BUF,D,74,medium,healthy,0.77,7300
5,21,Sidney Crosby,PIT,C,85,low,healthy,0.87,8200
5,22,Steven Stamkos,NSH,C,78,medium,healthy,0.76,7600
5,23,Alex Ovechkin,WSH,LW,75,medium,questionable,0.82,7400
5,24,Evgeni Malkin,PIT,C,72,medium,healthy,0.72,7000
5,25,Claude Giroux,OTT,RW,66,medium,healthy,0.62,6500
6,26,Igor Shesterkin,NYR,G,82,low,healthy,0.88,8500
6,27,Connor Hellebuyck,WPG,G,80,low,healthy,0.86,8300
6,28,Andrei Vasilevskiy,TBL,G,76,medium,healthy,0.84,8000
6,29,Juuse Saros,NSH,G,72,medium,healthy,0.78,7600
6,30,Jeremy Swayman,BOS,G,74,medium,healthy,0.80,7700
7,31,Sam Reinhart,FLA,RW,82,medium,healthy,0.79,7900
7,32,Sebastian Aho,CAR,C,84,low,healthy,0.82,8100
7,33,Tim Stutzle,OTT,C,83,medium,healthy,0.81,8000
7,34,Robert Thomas,STL,C,80,medium,healthy,0.73,7600
7,35,Jack Eichel,VGK,C,81,medium,healthy,0.80,7900
8,36,Elias Pettersson,VAN,C,82,medium,healthy,0.81,8000
8,37,J.T. Miller,VAN,C,79,medium,healthy,0.78,7700
8,38,Dylan Larkin,DET,C,76,medium,healthy,0.75,7400
8,39,Jesper Bratt,NJD,RW,78,medium,healthy,0.77,7500
8,40,Clayton Keller,UTA,RW,77,medium,healthy,0.74,7300
9,41,Brady Tkachuk,OTT,LW,74,medium,healthy,0.80,7400
9,42,Mark Scheifele,WPG,C,75,medium,healthy,0.72,7200
9,43,Zach Hyman,EDM,LW,73,medium,healthy,0.76,7100
9,44,Adrian Kempe,LAK,RW,72,medium,healthy,0.70,6900
9,45,Tage Thompson,BUF,C,76,high,healthy,0.75,7300
10,46,Josh Morrissey,WPG,D,70,medium,healthy,0.68,6800
10,47,Evan Bouchard,EDM,D,72,medium,healthy,0.74,7000
10,48,Miro Heiskanen,DAL,D,66,medium,healthy,0.67,6500
10,49,Noah Dobson,NYI,D,68,medium,healthy,0.66,6600
10,50,Moritz Seider,DET,D,61,medium,healthy,0.61,6100
11,51,Filip Forsberg,NSH,LW,76,medium,healthy,0.73,7200
11,52,Kevin Fiala,LAK,LW,71,medium,healthy,0.67,6800
11,53,Andrei Svechnikov,CAR,RW,70,medium,healthy,0.69,6700
11,54,Cole Caufield,MTL,RW,68,medium,healthy,0.71,6600
11,55,Mathew Barzal,NYI,C,69,medium,healthy,0.68,6600
12,56,Brock Boeser,VAN,RW,67,medium,healthy,0.66,6400
12,57,Wyatt Johnston,DAL,C,70,low,healthy,0.69,6600
12,58,Lucas Raymond,DET,RW,69,medium,healthy,0.68,6500
12,59,Jordan Kyrou,STL,RW,66,medium,healthy,0.63,6200
12,60,Trevor Zegras,ANA,C,64,high,healthy,0.70,6100
13,61,Sergei Bobrovsky,FLA,G,68,medium,healthy,0.72,6800
13,62,Jake Oettinger,DAL,G,70,medium,healthy,0.74,7000
13,63,Ilya Sorokin,NYI,G,67,medium,healthy,0.71,6700
13,64,Thatcher Demko,VAN,G,69,high,questionable,0.73,6900
13,65,Stuart Skinner,EDM,G,66,medium,healthy,0.69,6500
14,66,Macklin Celebrini,SJS,C,63,medium,healthy,0.72,6200
14,67,Connor Bedard,CHI,C,74,medium,healthy,0.86,7300
14,68,Matvei Michkov,PHI,RW,61,high,healthy,0.69,5900
14,69,Logan Cooley,UTA,C,58,medium,healthy,0.61,5600
14,70,Juraj Slafkovsky,MTL,LW,57,medium,healthy,0.60,5500
15,71,Seth Jarvis,CAR,RW,62,low,healthy,0.58,5900
15,72,Quinton Byfield,LAK,C,59,medium,healthy,0.57,5600
15,73,Alexis Lafreniere,NYR,LW,58,medium,healthy,0.59,5500
15,74,Matt Boldy,MIN,LW,65,medium,healthy,0.64,6200
15,75,Pavel Mintyukov,ANA,D,49,high,healthy,0.47,4800
